,makanan,kalori,protein,lemak,karbohidrat,tag_makanan
286,"Kokosan, segar",86,1.6,0.2,13.0,vegan buah
287,Kotiu hinela tawang nggole,46,2.2,1.5,6.0,vegan sayur olahan
288,Koya,366,4.2,4.3,77.5,vegan kue olahan
289,Koya mirasa,370,8.0,1.0,82.2,vegan kue olahan
290,Koyabu,241,3.4,4.3,47.2,vegan kue olahan
291,"Kranji, segar",315,2.1,1.4,73.5,vegan buah
292,Kue ali,440,3.8,18.5,64.5,vegan kue olahan
293,Kue bangen,442,3.3,14.7,74.2,vegan kue olahan
294,Kue bangket,338,1.5,1.2,80.3,vegan kue olahan
295,Kue gelang,448,5.8,16.1,70.0,vegan kue olahan
296,Kue jahe,425,1.6,8.8,84.6,vegan kue olahan
297,Kue kelapa,591,5.6,42.1,47.5,vegan kue olahan
298,Kue koa,340,4.8,0.4,79.3,vegan kue olahan
299,Kue ku temu,214,3.5,0.2,49.6,vegan kue olahan
300,Kue lumpur,291,3.6,11.1,44.1,vegan kue olahan
301,Kue pelita,141,5.3,5.5,17.6,vegan kue olahan
302,Kue putu cangkir,304,5.3,7.0,54.9,vegan kue olahan
303,Kue putu singkong,217,1.2,0.5,53.2,vegan kue olahan
304,Kue sus,221,7.5,10.2,24.8,vegan kue olahan
305,Kue thipan,247,2.9,4.2,49.5,vegan kue olahan
306,Kwaci,515,30.6,42.1,13.8,vegan bijian
307,Kwark (Quark),242,19.0,17.0,3.0,non-vegan olahan
308,Laksa/Putu mayang,121,1.7,3.4,21.1,vegan kue olahan
309,"Langsat, segar",56,0.9,0.2,14.3,vegan buah
310,Lanting getuk,422,0.9,10.8,80.4,vegan olahan
311,Lapis legit,389,6.6,15.7,55.5,vegan kue olahan
312,"Lawar babi, masakan",174,17.0,10.0,3.0,non-vegan olahan
313,"Lawar penyu, masakan",141,23.0,1.5,7.6,non-vegan olahan
314,"Lawara jangang, masakan",159,5.0,10.9,10.1,non-vegan olahan
315,"Lawara penjah, masakan",207,7.4,15.4,9.6,non-vegan olahan
316,Lema/Rebung asam,15,1.0,0.4,1.9,vegan olahan
317,"Lemon, segar",34,0.5,0.8,6.2,vegan buah
318,Lilin bungkus gedi,79,2.3,5.2,5.8,vegan olahan
319,"Lontar, segar",27,0.4,0.2,6.0,vegan buah
320,Lupis ketan,164,1.8,2.1,34.5,vegan kukus ketan olahan
321,Manan samin,379,3.4,18.1,50.6,vegan olahan
322,"Mangga benggala, segar",63,2.4,0.4,12.4,vegan buah
323,"Mangga gedung, segar",44,0.7,0.2,11.2,vegan buah
324,"Mangga golek, segar",63,0.5,0.2,16.7,vegan buah
325,"Mangga harumanis, segar",46,0.4,0.2,11.9,vegan buah
326,"Mangga indramayu, segar",72,0.8,0.2,18.7,vegan buah
327,"Mangga kopek, segar",56,0.4,0.2,14.6,vegan buah
328,"Mangga kwini, segar",86,0.7,0.5,19.8,vegan buah
329,"Mangga manalagi, segar",133,1.0,0.1,32.1,vegan buah
330,"Mangga muda, segar",59,0.5,0.4,15.1,vegan buah
331,"Mangga, segar",52,0.7,0.0,12.3,vegan buah
332,"Manggis, segar",63,0.6,0.6,15.6,vegan buah
333,Margarin,720,0.6,81.0,0.4,non-vegan olahan
334,"Markisa, segar",144,3.5,1.2,29.8,vegan buah
335,Martabak india,153,4.5,4.2,24.3,vegan olahan
336,Martabak mesir,278,5.1,8.6,45.0,vegan olahan
337,Masekat,369,2.1,7.0,74.1,vegan olahan
338,"Matoa, segar",90,1.2,0.1,21.1,vegan buah
339,Melinjo emping tebal goreng manis,439,10.0,16.4,65.7,vegan goreng keripik olahan
340,"Melinjo emping tebal, goreng asin",431,11.1,16.2,63.0,vegan goreng keripik olahan
341,Melinjo emping tipis goreng,485,11.5,24.5,59.1,vegan goreng keripik olahan
342,"Melon, segar",37,0.6,0.4,7.8,vegan buah
343,Mentega,742,0.5,81.6,1.4,non-vegan olahan
344,"Menteng, segar",65,1.7,0.3,16.1,vegan olahan
345,"Mentimun Suri, segar",16,1.3,0.0,2.1,vegan buah
346,Mi basah,88,0.6,3.3,14.0,vegan mie olahan
347,Mi golosor,71,0.2,0.8,15.9,vegan mie olahan
348,Mi kering,339,10.0,1.7,6.3,vegan mie olahan
349,Mie aceh rebus,113,3.0,3.2,18.1,vegan rebus mie olahan
350,Mie ayam,102,6.2,3.9,10.5,vegan rebus mie ayam daging olahan
351,Mie bakso,114,5.3,3.0,16.4,vegan rebus mie daging olahan
352,Mie Bendo,353,0.3,0.0,88.0,vegan rebus mie olahan
353,Mie celon,102,3.0,2.1,17.8,vegan rebus mie olahan
354,Mie pangsit basah,105,5.9,4.9,9.4,vegan rebus mie olahan
355,Mie Sagu,190,0.2,0.4,46.5,vegan mie olahan
356,Misoa,345,8.5,2.2,78.0,vegan goreng kue olahan
357,"Model, masakan",79,2.2,4.0,8.6,non-vegan olahan
358,Moon tahu,128,8.0,10.0,1.3,vegan rebus tahu olahan
359,"Mujahir acar kuning, masakan",330,17.8,23.4,12.1,non-vegan rebus ikan olahan
360,"Naan maran sapi, masakan",478,38.3,33.9,5.1,non-vegan daging olahan
361,"Nanas palembang, segar",58,0.7,0.2,13.3,vegan buah
362,"Nanas, segar",40,0.6,0.3,9.9,vegan buah
363,"Nangka masak pohon, segar",106,1.2,0.3,27.6,vegan buah
364,Nasi,180,3.0,0.3,39.8,vegan kukus nasi
365,Nasi beras merah,149,2.8,0.4,32.5,vegan kukus nasi
366,Nasi gemuk,192,3.8,8.8,24.4,vegan kukus nasi olahan
367,Nasi gurih,190,4.7,7.5,26.0,vegan kukus nasi olahan
368,Nasi jagung,357,8.8,0.5,79.5,vegan kukus nasi olahan
369,Nasi minyak,207,3.5,5.0,37.1,vegan kukus nasi olahan
370,Nasi rames,155,10.3,4.2,19.1,vegan kukus nasi olahan
371,Nasi tim,120,2.4,0.4,26.0,vegan rebus nasi
372,"Nasu likku, masakan",196,14.5,8.3,15.9,non-vegan goreng ayam daging olahan
